date,time,line_short_code,headsign,freq_in_sec
22-Jul-22,3:15:14 PM,SPL,to Putra Heights,840
22-Jul-22,3:15:14 PM,PYL,to Putrajaya,360
22-Jul-22,3:15:16 PM,PYL,to Kwasa Damansara,360
22-Jul-22,3:20:01 PM,AGL,to Sentul Timur,600
22-Jul-22,3:20:02 PM,AGL,to Ampang,600
22-Jul-22,3:20:02 PM,KGL,to Kajang,480
22-Jul-22,3:20:04 PM,KGL,to Kwasa Damansara,480
22-Jul-22,3:20:04 PM,KJL,to Gombak,420
22-Jul-22,3:20:06 PM,KJL,to Putra Heights,420
22-Jul-22,3:20:06 PM,MRL,to Titiwangsa,300
22-Jul-22,3:20:08 PM,MRL,to KL Sentral,300
22-Jul-22,3:20:08 PM,SPL,to Sentul Timur,840
22-Jul-22,3:20:10 PM,SPL,to Putra Heights,840
22-Jul-22,3:20:10 PM,SPL,to Sentul Timur,840
22-Jul-22,3:20:11 PM,SPL,to Putra Heights,840
22-Jul-22,3:20:11 PM,PYL,to Putrajaya,360
22-Jul-22,3:20:13 PM,PYL,to Kwasa Damansara,360
22-Jul-22,3:25:02 PM,AGL,to Sentul Timur,600
22-Jul-22,3:25:04 PM,AGL,to Ampang,600
22-Jul-22,3:25:04 PM,KGL,to Kajang,480
22-Jul-22,3:25:06 PM,KGL,to Kwasa Damansara,480
22-Jul-22,3:25:06 PM,KJL,to Gombak,420
22-Jul-22,3:25:08 PM,KJL,to Putra Heights,420
22-Jul-22,3:25:08 PM,MRL,to Titiwangsa,300
22-Jul-22,3:25:09 PM,MRL,to KL Sentral,300
22-Jul-22,3:25:11 PM,SPL,to Sentul Timur,840
22-Jul-22,3:25:11 PM,SPL,to Putra Heights,840
22-Jul-22,3:25:13 PM,SPL,to Sentul Timur,840
22-Jul-22,3:25:13 PM,SPL,to Putra Heights,840
22-Jul-22,3:25:14 PM,PYL,to Putrajaya,360
22-Jul-22,3:25:14 PM,PYL,to Kwasa Damansara,360
22-Jul-22,3:30:01 PM,AGL,to Sentul Timur,600
22-Jul-22,3:30:03 PM,AGL,to Ampang,600
22-Jul-22,3:30:03 PM,KGL,to Kajang,480
22-Jul-22,3:30:04 PM,KGL,to Kwasa Damansara,480
22-Jul-22,3:30:04 PM,KJL,to Gombak,420
22-Jul-22,3:30:06 PM,KJL,to Putra Heights,420
22-Jul-22,3:30:06 PM,MRL,to Titiwangsa,300
22-Jul-22,3:30:08 PM,MRL,to KL Sentral,300
22-Jul-22,3:30:08 PM,SPL,to Sentul Timur,840
22-Jul-22,3:30:09 PM,SPL,to Putra Heights,840
22-Jul-22,3:30:10 PM,SPL,to Sentul Timur,840
22-Jul-22,3:30:11 PM,SPL,to Putra Heights,840
22-Jul-22,3:30:11 PM,PYL,to Putrajaya,360
22-Jul-22,3:30:13 PM,PYL,to Kwasa Damansara,360
22-Jul-22,3:35:01 PM,AGL,to Sentul Timur,600
22-Jul-22,3:35:02 PM,AGL,to Ampang,600
22-Jul-22,3:35:03 PM,KGL,to Kajang,480
22-Jul-22,3:35:04 PM,KGL,to Kwasa Damansara,480
22-Jul-22,3:35:05 PM,KJL,to Gombak,420
22-Jul-22,3:35:05 PM,KJL,to Putra Heights,420
22-Jul-22,3:35:06 PM,MRL,to Titiwangsa,300
22-Jul-22,3:35:06 PM,MRL,to KL Sentral,300
22-Jul-22,3:35:08 PM,SPL,to Sentul Timur,840
22-Jul-22,3:35:08 PM,SPL,to Putra Heights,840
22-Jul-22,3:35:09 PM,SPL,to Sentul Timur,840
22-Jul-22,3:35:09 PM,SPL,to Putra Heights,840
22-Jul-22,3:35:11 PM,PYL,to Putrajaya,360
22-Jul-22,3:35:11 PM,PYL,to Kwasa Damansara,360
22-Jul-22,3:40:02 PM,AGL,to Sentul Timur,600
22-Jul-22,3:40:02 PM,AGL,to Ampang,600
22-Jul-22,3:40:04 PM,KGL,to Kajang,480
22-Jul-22,3:40:04 PM,KGL,to Kwasa Damansara,480
22-Jul-22,3:40:05 PM,KJL,to Gombak,420
22-Jul-22,3:40:05 PM,KJL,to Putra Heights,420
22-Jul-22,3:40:06 PM,MRL,to Titiwangsa,300
22-Jul-22,3:40:06 PM,MRL,to KL Sentral,300
22-Jul-22,3:40:07 PM,SPL,to Sentul Timur,840
22-Jul-22,3:40:07 PM,SPL,to Putra Heights,840
22-Jul-22,3:40:09 PM,SPL,to Sentul Timur,840
22-Jul-22,3:40:09 PM,SPL,to Putra Heights,840
22-Jul-22,3:40:11 PM,PYL,to Putrajaya,360
22-Jul-22,3:40:11 PM,PYL,to Kwasa Damansara,360
22-Jul-22,3:45:01 PM,AGL,to Sentul Timur,600
22-Jul-22,3:45:02 PM,AGL,to Ampang,600
22-Jul-22,3:45:02 PM,KGL,to Kajang,480
